"","Leto","Regija","Vrsta","Spol","Stevilo"
"292","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",107
"293","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (prejšnje)","Moški",206
"294","2007/08","stalno bivališče neznano ali v tujini","Visokošolsko univerzitetno (prejšnje)","Ženske",324
"295","2007/08","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",3
"296","2007/08","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",5
"297","2007/08","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",34
"298","2007/08","stalno bivališče neznano ali v tujini","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",28
"299","2007/08","stalno bivališče neznano ali v tujini","Specialistično","Moški",1
"300","2007/08","stalno bivališče neznano ali v tujini","Specialistično","Ženske",3
"301","2007/08","stalno bivališče neznano ali v tujini","Magistrsko (prejšnje)","Moški",50
"302","2007/08","stalno bivališče neznano ali v tujini","Magistrsko (prejšnje)","Ženske",70
"303","2007/08","stalno bivališče neznano ali v tujini","Doktorsko (prejšnje)","Moški",38
"304","2007/08","stalno bivališče neznano ali v tujini","Doktorsko (prejšnje)","Ženske",56
"305","2007/08","stalno bivališče neznano ali v tujini","Doktorsko (3. bolonjska stopnja)","Moški",13
"306","2007/08","stalno bivališče neznano ali v tujini","Doktorsko (3. bolonjska stopnja)","Ženske",14
"307","2008/09","SLOVENIJA","Višje strokovno","Moški",8551
"308","2008/09","SLOVENIJA","Višje strokovno","Ženske",7712
"309","2008/09","SLOVENIJA","Visokošolsko strokovno (prejšnje)","Moški",9377
"310","2008/09","SLOVENIJA","Visokošolsko strokovno (prejšnje)","Ženske",9954
"311","2008/09","SLOVENIJA","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",6268
"312","2008/09","SLOVENIJA","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",9324
"313","2008/09","SLOVENIJA","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",5945
"314","2008/09","SLOVENIJA","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",9490
"315","2008/09","SLOVENIJA","Visokošolsko univerzitetno (prejšnje)","Moški",13170
"316","2008/09","SLOVENIJA","Visokošolsko univerzitetno (prejšnje)","Ženske",23069
"317","2008/09","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",277
"318","2008/09","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",482
"319","2008/09","SLOVENIJA","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",1315
